,Title,Difficulty,URL,count
647,Palindromic Substrings,Medium,/problems/palindromic-substrings,8
329,Longest Increasing Path in a Matrix,Hard,/problems/longest-increasing-path-in-a-matrix,8
1209,Remove All Adjacent Duplicates in String II,Medium,/problems/remove-all-adjacent-duplicates-in-string-ii,8
273,Integer to English Words,Hard,/problems/integer-to-english-words,8
658,Find K Closest Elements,Medium,/problems/find-k-closest-elements,8
191,Number of 1 Bits,Easy,/problems/number-of-1-bits,8
2235,Add Two Integers,Easy,/problems/add-two-integers,8
8,String to Integer (atoi),Medium,/problems/string-to-integer-atoi,8
37,Sudoku Solver,Hard,/problems/sudoku-solver,8
26,Remove Duplicates from Sorted Array,Easy,/problems/remove-duplicates-from-sorted-array,8
122,Best Time to Buy and Sell Stock II,Medium,/problems/best-time-to-buy-and-sell-stock-ii,8
16,3Sum Closest,Medium,/problems/3sum-closest,8
1293,Shortest Path in a Grid with Obstacles Elimination,Hard,/problems/shortest-path-in-a-grid-with-obstacles-elimination,8
72,Edit Distance,Hard,/problems/edit-distance,8
787,Cheapest Flights Within K Stops,Medium,/problems/cheapest-flights-within-k-stops,7
29,Divide Two Integers,Medium,/problems/divide-two-integers,7
739,Daily Temperatures,Medium,/problems/daily-temperatures,7
733,Flood Fill,Easy,/problems/flood-fill,7
213,House Robber II,Medium,/problems/house-robber-ii,7
78,Subsets,Medium,/problems/subsets,7
74,Search a 2D Matrix,Medium,/problems/search-a-2d-matrix,7
226,Invert Binary Tree,Easy,/problems/invert-binary-tree,7
69,Sqrt(x),Easy,/problems/sqrtx,7
344,Reverse String,Easy,/problems/reverse-string,7
202,Happy Number,Easy,/problems/happy-number,7
595,Big Countries,Easy,/problems/big-countries,7
64,Minimum Path Sum,Medium,/problems/minimum-path-sum,7
268,Missing Number,Easy,/problems/missing-number,7
57,Insert Interval,Medium,/problems/insert-interval,7
278,First Bad Version,Easy,/problems/first-bad-version,7
987,Vertical Order Traversal of a Binary Tree,Hard,/problems/vertical-order-traversal-of-a-binary-tree,7
51,N-Queens,Hard,/problems/n-queens,7
827,Making A Large Island,Hard,/problems/making-a-large-island,7
221,Maximal Square,Medium,/problems/maximal-square,7
871,Minimum Number of Refueling Stops,Hard,/problems/minimum-number-of-refueling-stops,7
205,Isomorphic Strings,Easy,/problems/isomorphic-strings,7
28,Find the Index of the First Occurrence in a String,Medium,/problems/find-the-index-of-the-first-occurrence-in-a-string,7
104,Maximum Depth of Binary Tree,Easy,/problems/maximum-depth-of-binary-tree,7
143,Reorder List,Medium,/problems/reorder-list,7
136,Single Number,Easy,/problems/single-number,7
101,Symmetric Tree,Easy,/problems/symmetric-tree,7
153,Find Minimum in Rotated Sorted Array,Medium,/problems/find-minimum-in-rotated-sorted-array,7
412,Fizz Buzz,Easy,/problems/fizz-buzz,7
410,Split Array Largest Sum,Hard,/problems/split-array-largest-sum,7
134,Gas Station,Medium,/problems/gas-station,7
152,Maximum Product Subarray,Medium,/problems/maximum-product-subarray,7
438,Find All Anagrams in a String,Medium,/problems/find-all-anagrams-in-a-string,7
97,Interleaving String,Medium,/problems/interleaving-string,7
442,Find All Duplicates in an Array,Medium,/problems/find-all-duplicates-in-an-array,7
128,Longest Consecutive Sequence,Medium,/problems/longest-consecutive-sequence,7
697,Degree of an Array,Easy,/problems/degree-of-an-array,7
179,Largest Number,Medium,/problems/largest-number,7
383,Ransom Note,Easy,/problems/ransom-note,7
1048,Longest String Chain,Medium,/problems/longest-string-chain,7
1004,Max Consecutive Ones III,Medium,/problems/max-consecutive-ones-iii,7
852,Peak Index in a Mountain Array,Medium,/problems/peak-index-in-a-mountain-array,6
312,Burst Balloons,Hard,/problems/burst-balloons,6
528,Random Pick with Weight,Medium,/problems/random-pick-with-weight,6
208,Implement Trie (Prefix Tree),Medium,/problems/implement-trie-prefix-tree,6
2035,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,/problems/partition-array-into-two-arrays-to-minimize-sum-difference,6
416,Partition Equal Subset Sum,Medium,/problems/partition-equal-subset-sum,6
332,Reconstruct Itinerary,Hard,/problems/reconstruct-itinerary,6
934,Shortest Bridge,Medium,/problems/shortest-bridge,6
10,Regular Expression Matching,Hard,/problems/regular-expression-matching,6
523,Continuous Subarray Sum,Medium,/problems/continuous-subarray-sum,6
269,Alien Dictionary,Hard,/problems/alien-dictionary,6
392,Is Subsequence,Easy,/problems/is-subsequence,6
155,Min Stack,Medium,/problems/min-stack,6
557,Reverse Words in a String III,Easy,/problems/reverse-words-in-a-string-iii,6
67,Add Binary,Easy,/problems/add-binary,6
43,Multiply Strings,Medium,/problems/multiply-strings,6
811,Subdomain Visit Count,Medium,/problems/subdomain-visit-count,6
66,Plus One,Easy,/problems/plus-one,6
977,Squares of a Sorted Array,Easy,/problems/squares-of-a-sorted-array,6
169,Majority Element,Easy,/problems/majority-element,6
359,Logger Rate Limiter,Easy,/problems/logger-rate-limiter,6
92,Reverse Linked List II,Medium,/problems/reverse-linked-list-ii,6
301,Remove Invalid Parentheses,Hard,/problems/remove-invalid-parentheses,6
735,Asteroid Collision,Medium,/problems/asteroid-collision,6
199,Binary Tree Right Side View,Medium,/problems/binary-tree-right-side-view,6
151,Reverse Words in a String,Medium,/problems/reverse-words-in-a-string,6
150,Evaluate Reverse Polish Notation,Medium,/problems/evaluate-reverse-polish-notation,6
126,Word Ladder II,Hard,/problems/word-ladder-ii,6
694,Number of Distinct Islands,Medium,/problems/number-of-distinct-islands,6
71,Simplify Path,Medium,/problems/simplify-path,6
237,Delete Node in a Linked List,Medium,/problems/delete-node-in-a-linked-list,6
353,Design Snake Game,Medium,/problems/design-snake-game,6
235,Lowest Common Ancestor of a Binary Search Tree,Medium,/problems/lowest-common-ancestor-of-a-binary-search-tree,6
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,/problems/construct-binary-tree-from-preorder-and-inorder-traversal,6
1197,Minimum Knight Moves,Medium,/problems/minimum-knight-moves,6
138,Copy List with Random Pointer,Medium,/problems/copy-list-with-random-pointer,6
1143,Longest Common Subsequence,Medium,/problems/longest-common-subsequence,6
785,Is Graph Bipartite?,Medium,/problems/is-graph-bipartite,6
287,Find the Duplicate Number,Medium,/problems/find-the-duplicate-number,6
1235,Maximum Profit in Job Scheduling,Hard,/problems/maximum-profit-in-job-scheduling,6
240,Search a 2D Matrix II,Medium,/problems/search-a-2d-matrix-ii,6
1480,Running Sum of 1d Array,Easy,/problems/running-sum-of-1d-array,5
772,Basic Calculator III,Hard,/problems/basic-calculator-iii,5
1207,Unique Number of Occurrences,Easy,/problems/unique-number-of-occurrences,5
503,Next Greater Element II,Medium,/problems/next-greater-element-ii,5
1192,Critical Connections in a Network,Hard,/problems/critical-connections-in-a-network,5
529,Minesweeper,Medium,/problems/minesweeper,5
493,Reverse Pairs,Hard,/problems/reverse-pairs,5
437,Path Sum III,Medium,/problems/path-sum-iii,5
460,LFU Cache,Hard,/problems/lfu-cache,5
1472,Design Browser History,Medium,/problems/design-browser-history,5
543,Diameter of Binary Tree,Easy,/problems/diameter-of-binary-tree,5
73,Set Matrix Zeroes,Medium,/problems/set-matrix-zeroes,5
722,Remove Comments,Medium,/problems/remove-comments,5
1929,Concatenation of Array,Easy,/problems/concatenation-of-array,5
1570,Dot Product of Two Sparse Vectors,Medium,/problems/dot-product-of-two-sparse-vectors,5
706,Design HashMap,Easy,/problems/design-hashmap,5
